-;Asociacion entre CRM y KM con respecto al modulo del servicio al cliente de las Empresas Prestadoras de Salud en Colombia;Sandra Marcela Sanchez Mejia, Marcela Edilsa Ruiz Sanchez;-;Jorge Salazar Polania;Pregrado;2006;-;-;No;SiDRe
-;Busqueda de Patrones en el Uso de codones en genes;Natalia Adriana Garzon Mora, Carlos Augusto Pinzon Pinto;-;Fabio Antonio Avellaneda Pachón;Pregrado;2006;-;-;No;Takina
-;Como crear una Empresa por Ingenieros de Sistemas? Inteligencia Proactiva de Negocios;Rafael Eduardo Rodriguez Valderrama, Nicolas Romero Reyes;-;Hilda Cristina Chaparro López;Pregrado;2006;-;-;No;SiDRe
-;Componente de Software Libre para la Limpieza de Datos en DATA MINING;Viviana Andrea Puentes Barragan - Carlos Andres Rodriguez Morales;-;Julio Ernesto Carreño Vargas;Pregrado;2006;-;-;No;SiDRe
-;Construccion de un Ambiente Virtual de Aprendizaje para el Apoyo al Aprendizale Semi-Presencial.;Oscar Castilblanco, John Portela;-;Alexandra Pomares Quimbaya;Pregrado;2006;-;-;No;SiDRe
-;Construyendo un Jinu de la Informacion;Juan Bernardo Mesa Giraldo, Andres Antonio Polo Jimenez;-;Rafael Andrés González Rivera;Pregrado;2006;-;-;No;Istar
-;Creacion de una Empresa de Base TecNologica para el Desarrollo de Software;Alvaro Assmus Nassar;-;Adith Bismarck Pérez Orozco;Pregrado;2006;-;-;No;SiDRe
-;Creacion de una Empresa para Realizar la produccion comercializacion y distribucion de un software de invetarios para PYMES;Juan Carlos Barragan Quintero, Juan Carlos Bernal Rincon;-;Beatriz Elena Castaño;Pregrado;2006;-;-;No;SiDRe
-;Definicion de un modelo para ambientes virtuales de Aprendizaje donde se involucran Objetos Virtuales de Aprendizaje;Juan Jose Henao Cardenas, Paula Carolina Arias Donato;-;José Hernando Hurtado Rojas;Pregrado;2006;-;-;No;SiDRe
-;Diseño de una guia metodologica para la administracion y gestion de las areas del coNocimiento de calidad y costos en la gerencia de Proyectos;Ingrid Vanessa Polo Rodriguez;-;Jaime García Cepeda;Pregrado;2006;-;-;Si;SiDRe
-;Diseño Implementacion y pruebas de una Aplicación que funcione como centro de Mensajeria Movil y que pueda ser Utilizada por dispoSitivos como los TelefoNos;Lida Jazmin Mendez Orjuela, Andres Felipe Ardila Gaitan;-;Ricardo González;Pregrado;2006;-;-;No;SiDRe
-;Establecimiento de un Modelo de Aprendizaje Identificacion y Correccion de Valores Asociados al proceso de Data Cleaning ;Anyela Maria Torres Sanchez;-;Luis Roberto Ojeda;Pregrado;2006;-;-;No;SiDRe
-;Evaluacion de una Estrategia de Conservacion de BiodiverSidad Mediante el uso de Sistemas de Informacion Geografica;Rhaquel Valencia Grutzenddler;-;Javier Francisco López Parra;Pregrado;2006;-;-;Si;SiDRe
-;Framework Unificado para Desarrollo de Interfaces J2EE con soporte a Objetivos PerSistentes en Bases de Datos Relacionales;Luis A. Báez, Cristian Castañeda G, Diego Castañeda M.;-;Javier Sánchez;Pregrado;2006;-;-;No;SiDRe
-;Gerencia de Proyectos de TecNologia Informatica Aplicada al Plan Estrategico Informatico de Colciencias;Fredy Marcos Rincon Toro, Jorge Mario Agudelo Calderon;-;Fernando González ;Pregrado;2006;-;-;No;SiDRe
-;Graftura- l - eza Generacion Algoritmica de las Plantas;David Arturo Camelo Rojas, Gina Chiquillo Mojica;-;Oscar Javier Chavarro García;Pregrado;2006;-;-;Si;Takina
-;Groupware MediaNo por Agentes Informaticos Racionales para entorNos Empresariales AYLLU-ORG;German Acosta, Leonardo Uribe;-;Enrique González Guerrero;Pregrado;2006;-;-;No;SiDRe
-;Guia Conceptual y Practica que complementa el Nivel de Madurez con las areas de Proceso: Gestion de Riiesgos Educacion y Entrenamiento para Mejorar la eficacia y la Eficiencia.;Luisa Fernanda Angarita MoreNo, Alvaro Hernan Pinzon Ortega;-;Jaime Hernando González;Pregrado;2006;-;-;No;SiDRe
-;"Guia Metodologica para la evaluacion del Proceso de Gestion de Proyetos de Software ""Una ViSion de las Mejores Practicas de Gestion Basadas en la Metrica""";Lady Johanna Arias Cuestas, Sandra Janeth Cantor Florez;-;Luis Francisco Martinez;Pregrado;2006;-;-;No;SiDRe
-;Guia Metodologica para la Recoleccion de Requerimientos a Distancia;Alvaro Sebastian Miranda Forero;-;Miguel Eduardo Torres MoreNo;Pregrado;2006;-;-;No;SiDRe
-;Guia para generar ventaja competitiva en el Sector Turismo de Bogota por emdio de BuSiness Intelligence;Katherin Stefani Londoño Vargas, Jose David Campana Lewis;-;Hilda Cristina Chaparro López;Pregrado;2006;-;-;Si;SiDRe
-;Guía para Obtener Certificacion en el modelo de Calidad CMMI en los Niveles 2 y 3.;Ruben Escudero Galindo, Andres Kricka Garrido;-;Maria Mercedes Corral Strassman;Pregrado;2006;-;-;No;SiDRe
-;Herramienta para la Administracion de Bitacoras de Tiempo y Defectos del TEAM Software Process (TSP);Diana Milena Barbosa Rojas, Luis Eduardo Segura Ovalle;-;Ricardo González;Pregrado;2006;-;-;No;SiDRe
